,Customer ID,Customer Name,Segment,cod_customer
0,CG-12520,Claire Gute,Consumer,1
2,DV-13045,Darrin Van Huff,Corporate,2
3,SO-20335,Sean O'Donnell,Consumer,3
5,BH-11710,Brosina Hoffman,Consumer,4
12,AA-10480,Andrew Allen,Consumer,5
13,IM-15070,Irene Maddox,Consumer,6
14,HP-14815,Harold Pawlan,Home Office,7
16,PK-19075,Pete Kriz,Consumer,8
17,AG-10270,Alejandro Grove,Consumer,9
18,ZD-21925,Zuschuss Donatelli,Consumer,10
21,KB-16585,Ken Black,Corporate,11
23,SF-20065,Sandra Flanagan,Consumer,12
24,EB-13870,Emily Burns,Consumer,13
25,EH-13945,Eric Hoffmann,Consumer,14
27,TB-21520,Tracy Blumstein,Consumer,15
34,MA-17560,Matt Abelman,Home Office,16
35,GH-14485,Gene Hale,Corporate,17
37,SN-20710,Steve Nguyen,Home Office,18
41,LC-16930,Linda Cazamias,Corporate,19
42,RA-19885,Ruben Ausman,Corporate,20
43,ES-14080,Erin Smith,Corporate,21
44,ON-18715,Odella Nelson,Corporate,22
46,PO-18865,Patrick O'Donnell,Consumer,23
47,LH-16900,Lena Hernandez,Consumer,24
49,DP-13000,Darren Powers,Consumer,25
53,JM-15265,Janet Molinari,Corporate,26
55,TB-21055,Ted Butterfield,Consumer,27
62,KM-16720,Kunst Miller,Consumer,28
66,PS-18970,Paul Stevenson,Home Office,29
67,BS-11590,Brendan Sweed,Corporate,30
69,KD-16270,Karen Daniels,Consumer,31
70,HM-14980,Henry MacAllister,Consumer,32
72,JE-15745,Joel Eaton,Consumer,33
75,KB-16600,Ken Brennan,Corporate,34
79,SC-20770,Stewart Carmichael,Corporate,35
81,DN-13690,Duane Noonan,Consumer,36
83,JC-16105,Julie Creighton,Corporate,37
84,CS-12400,Christopher Schild,Home Office,38
86,PG-18895,Paul Gonzalez,Consumer,39
88,GM-14455,Gary Mitchum,Home Office,40
89,JS-15685,Jim Sink,Corporate,41
92,KB-16315,Karl Braun,Consumer,42
95,RB-19705,Roger Barcio,Home Office,43
96,PN-18775,Parhena Norris,Home Office,44
97,KD-16345,Katherine Ducich,Consumer,45
98,ER-13855,Elpida Rittenbach,Corporate,46
99,RB-19465,Rick Bensley,Home Office,47
102,GZ-14470,Gary Zandusky,Consumer,48
103,LC-16870,Lena Cacioppo,Consumer,49
106,JM-15250,Janet Martin,Consumer,50
109,PA-19060,Pete Armstrong,Home Office,51
110,CV-12805,Cynthia Voltz,Corporate,52
111,CL-12565,Clay Ludtke,Consumer,53
113,RC-19960,Ryan Crowe,Consumer,54
117,DK-13090,Dave Kipp,Consumer,55
118,GG-14650,Greg Guthrie,Corporate,56
119,SC-20725,Steven Cartwright,Consumer,57
124,AD-10180,Alan Dominguez,Home Office,58
125,PF-19165,Philip Fox,Consumer,59
126,TS-21610,Troy Staebel,Consumer,60
128,LS-16975,Lindsay Shagiari,Home Office,61
130,DW-13585,Dorothy Wardle,Corporate,62
133,LC-16885,Lena Creighton,Consumer,63
140,JD-15895,Jonathan Doherty,Corporate,64
141,SH-19975,Sally Hughsby,Corporate,65
144,SG-20080,Sandra Glassco,Consumer,66
145,HA-14920,Helen Andreada,Consumer,67
146,MG-17680,Maureen Gastineau,Home Office,68
147,JE-16165,Justin Ellison,Corporate,69
151,TW-21025,Tamara Willingham,Home Office,70
153,SP-20650,Stephanie Phelps,Corporate,71
156,NK-18490,Neil Knudson,Home Office,72
157,DB-13060,Dave Brooks,Consumer,73
158,NP-18670,Nora Paige,Consumer,74
160,TT-21070,Ted Trevino,Consumer,75
161,EM-13960,Eric Murdock,Consumer,76
162,RD-19900,Ruben Dartt,Consumer,77
163,MJ-17740,Max Jones,Consumer,78
164,BM-11140,Becky Martin,Consumer,79
171,CS-12130,Chad Sievert,Consumer,80
174,JB-15400,Jennifer Braxton,Corporate,81
176,SJ-20500,Shirley Jackson,Consumer,82
179,JK-15640,Jim Kriz,Home Office,83
180,DK-13150,David Kendrick,Corporate,84
182,RM-19675,Robert Marley,Home Office,85
185,SK-19990,Sally Knutson,Consumer,86
186,FM-14290,Frank Merwin,Home Office,87
187,AM-10360,Alice McCarthy,Corporate,88
189,MP-17470,Mark Packer,Home Office,89
194,MZ-17515,Mary Zewe,Corporate,90
195,CB-12025,Cassandra Brandow,Consumer,91
197,VM-21685,Valerie Mitchum,Home Office,92
198,FH-14365,Fred Hopkins,Corporate,93
200,MB-17305,Maria Bertelson,Consumer,94
201,BS-11755,Bruce Stewart,Consumer,95
203,LC-17140,Logan Currie,Consumer,96
204,HK-14890,Heather Kirkland,Corporate,97
205,LE-16810,Laurel Elliston,Consumer,98
206,JH-15985,Joseph Holt,Consumer,99
211,MS-17980,Michael Stewart,Corporate,100
212,VW-21775,Victoria Wilson,Corporate,101
217,JH-15910,Jonathan Howell,Consumer,102
219,JB-15925,Joni Blumstein,Consumer,103
225,DS-13180,David Smith,Corporate,104
